ID,GTStart,GTEnd,TBLQStart,TBLQEnd,TQRStart,TQREnd 
Video1,00:00 , 07:55,02:12 , 05:32,00:00 , 08:49
Video2,01:00 , 05:54,00:00 , 01:02,00:00 , 04:42
Video3,00:00 , 04:25,00:00 , 01:29,00:00 , 01:29
Video4,00:00 , 04:08,00:00 , 00:52,00:00 , 00:52
Video5,01:34 , 09:08,00:00 , 01:16,00:00 , 00:37
Video6,00:00 , 07:14,05:17 , 08:22,01:18 , 09:34
Video7,00:00 , 08:50,00:00 , 01:24,00:00 , 01:24
Video8,00:00 , 07:50,03:58 , 07:50,00:00 , 07:30
Video9,00:40 , 03:27,01:45 , 05:32,00:00 , 00:54
Video10,00:00 , 04:00,00:00 , 00:31,00:00 , 03:18
Video11,00:39 , 04:02,00:00 , 04:08,00:00 , 06:28
Video12,00:00 , 04:27,00:00 , 04:48,00:00 , 04:48
Video13,00:00 , 02:28,00:00 , 01:01,00:00 , 01:01
Video14,04:57 , 06:55,03:32 , 07:10,01:20 , 07:10
Video15,00:00 , 01:35,00:00 , 00:54,00:00 , 00:55
Video16,00:00 , 01:42,00:00 , 00:51,00:00 , 00:51
Video17,00:00 , 04:35,03:02 , 05:41,03:02 , 05:41
Video18,00:00 , 01:47,00:00 , 03:22,00:00 , 03:23
Video19,45:43 , 52:50,41:56 , 55:22,10:55 , 49:06
Video20,17:55 , 21:25,03:36 , 24:51,00:00 , 24:51
Video21,00:00 , 08:45,03:57 , 06:21,03:57 , 06:22
Video22,00:00 , 08:05,00:00 , 01:38,00:00 , 01:38
Video23,00:00 , 12:27,00:00 , 00:31,03:03 , 09:52
Video24,00:00 , 01:50,00:00 , 01:20,00:00 , 00:40
Video25,00:00 , 03:40,01:45 , 03:40,00:00 , 00:39
Video26,05:20 , 08:14,00:00 , 00:36,00:00 , 00:36
Video27,00:00 , 08:14,02:19 , 08:28,00:57 , 08:28
Video28,00:00 , 02:10,00:00 , 00:41,00:00 , 00:41
Video29,00:00 , 08:35,00:00 , 01:07,00:50 , 10:43
Video30,00:00 , 05:23,00:25 , 03:29,01:47 , 03:29
Video31,07:30 , 13:30,00:26 , 01:05,05:43 , 11:10
Video32,00:00 , 03:30,00:25 , 02:12,00:00 , 06:43
Video33,09:25 , 09:50,00:00 , 00:35,00:00 , 00:36
Video34,00:00 , 03:10,00:00 , 00:42,00:00 , 00:42
Video35,00:00 , 11:20,00:00 , 03:00,00:25 , 02:52
Video36,02:50 , 06:40,00:00 , 00:41,00:00 , 00:41
Video37,00:00 , 05:17,?,?
Video38,00:00 , 04:00,01:47 , 03:24,00:00 , 00:33
