#ID,GTStart,GTEnd,TBLQStart,TBLQEnd,TQRStart,TQREnd 
Video1,00:00 , 07:55,02:12 , 05:32,03:40 , 04:19
Video2,01:00 , 05:54,00:00 , 01:02,00:04 , 07:36
Video3,00:00 , 04:25,00:00 , 01:29,02:20 , 02:29
Video4,00:00 , 04:08,00:00 , 00:52,00:38 , 02:49
Video5,01:34 , 09:08,00:00 , 01:16,00:17 , 05:21
Video6,00:00 , 07:14,05:17 , 08:22,07:43 , 09:36
Video7,00:00 , 08:50,00:00 , 01:24,00:02 , 09:32
Video8,00:00 , 07:50,03:58 , 07:50,05:12 , 06:02
Video9,00:40 , 03:27,01:45 , 05:32,00:12 , 03:18
Video10,00:00 , 04:00,00:00 , 00:31,02:41 , 04:27
Video11,00:39 , 04:02,00:00 , 04:08,07:55 , 09:47
Video12,00:00 , 04:27,00:00 , 04:48,03:07 , 03:37
Video13,00:00 , 02:28,00:00 , 01:01,00:35 , 00:41
Video14,04:57 , 06:55,03:32 , 07:10,02:13 , 05:38
Video15,00:00 , 01:35,00:00 , 00:54,00:12 , 03:10
Video16,00:00 , 01:42,00:00 , 00:51,02:44 , 03:28
Video17,00:00 , 04:35,03:02 , 05:41,00:05 , 00:24
Video18,00:00 , 01:47,00:00 , 03:22,00:09 , 00:55
Video19,45:43 , 52:50,41:56 , 55:22,38:52 , 38:56
Video20,17:55 , 21:25,03:36 , 24:51,12:34 , 39:45
Video21,00:00 , 08:45,03:57 , 06:21,01:48 , 05:47
Video22,00:00 , 08:05,00:00 , 01:38,03:25 , 03:28
Video23,00:00 , 12:27,00:00 , 00:31,00:31 , 15:06
Video24,00:00 , 01:50,00:00 , 01:20,00:13 , 03:37
Video25,00:00 , 03:40,01:45 , 03:40,02:37 , 03:12
Video26,05:20 , 08:14,00:00 , 00:36,00:09 , 07:04
Video27,00:00 , 08:14,02:19 , 08:28,01:16 , 01:21
Video28,00:00 , 02:10,00:00 , 00:41,00:02 , 01:15
Video29,00:00 , 08:35,00:00 , 01:07,07:42 , 08:08
Video30,00:00 , 05:23,00:25 , 03:29,01:31 , 02:36
Video31,07:30 , 13:30,00:26 , 01:05,09:16 , 13:42
Video32,00:00 , 03:30,00:25 , 02:12,01:21 , 01:32
Video33,09:25 , 09:50,00:00 , 00:35,08:01 , 09:36
Video34,00:00 , 03:10,00:00 , 00:42,02:39 , 04:20
Video35,00:00 , 11:20,00:00 , 03:00,02:07 , 04:43
Video36,02:50 , 06:40,00:00 , 00:41,01:36 , 03:05
Video37,00:00 , 05:17,00:00 , 00:01,00:15 , 00:19  
